"id","date","price","month.return","ym","year","month","treasury","mkt","mktprm","cmpprm","industry","long.treasury","long.minus.short","season"
2886,20151130,22.5,-4.2473,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-4.25782022652024,28,0.249059823032027,0.238539596511789,4
2887,20151130,11.6,-9.0196,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-9.03012022652024,28,0.249059823032027,0.238539596511789,4
2890,20151130,10.1,-6.0467,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-6.05722022652024,28,0.249059823032027,0.238539596511789,4
2891,20151130,17.1,-4.2018,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-4.21232022652024,28,0.249059823032027,0.238539596511789,4
2892,20151130,15.2,-3.492,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-3.50252022652024,28,0.249059823032027,0.238539596511789,4
2912,20151130,209,-3.2407,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-3.25122022652024,29,0.249059823032027,0.238539596511789,4
3008,20151130,2515,-0.789,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-0.799520226520239,23,0.249059823032027,0.238539596511789,4
3045,20151130,98.6,-3.8048,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-3.81532022652024,24,0.249059823032027,0.238539596511789,4
3481,20151130,10,-8.7671,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-8.77762022652024,23,0.249059823032027,0.238539596511789,4
4904,20151130,68.7,-2.4148,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-2.42532022652024,24,0.249059823032027,0.238539596511789,4
4938,20151130,86.1,7.8949,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,7.88437977347976,23,0.249059823032027,0.238539596511789,4
5871,20151130,55.2,-11.3965,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-11.4070202265202,28,0.249059823032027,0.238539596511789,4
5880,20151130,13.9,-4.4672,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-4.47772022652024,28,0.249059823032027,0.238539596511789,4
6505,20151130,77.2,-2.4022,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-2.41272022652024,11,0.249059823032027,0.238539596511789,4
9904,20151130,43.5,-5.5434,201511,2015,11,0.0105202265202387,-2.7319,-2.74242022652024,-5.55392022652024,29,0.249059823032027,0.238539596511789,4
1101,20151030,36.2,8.5456,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,8.54421121719549,11,0.237546342169459,0.236157559364947,4
1102,20151030,33.8,4.8135,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,4.81211121719549,11,0.237546342169459,0.236157559364947,4
1216,20151030,55,-3.5084,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-3.50978878280451,29,0.237546342169459,0.236157559364947,4
